Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban,Y
LP002494,Male,No,0,Graduate,No,6000,0.0,140.0,360.0,1.0,Rural,Y
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y
LP001568,Male,Yes,0,Graduate,No,4500,0.0,140.0,360.0,1.0,Semiurban,
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
LP002096,Male,Yes,0,Not Graduate,No,2000,1600.0,115.0,360.0,1.0,Rural,
LP001853,Male,Yes,1,Not Graduate,No,2463,2360.0,117.0,360.0,0.0,Urban,
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,1.0,Rural,Y
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,Y
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,Y
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y
LP002226,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban,Y
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,Y
LP001219,Male,No,0,Graduate,No,3643,1963.0,138.0,360.0,1.0,Urban,
LP001660,Male,No,0,Graduate,No,4667,0.0,120.0,360.0,1.0,Semiurban,
LP002876,Male,No,0,Graduate,No,6858,0.0,176.0,360.0,1.0,Rural,
LP001599,Male,Yes,0,Graduate,No,4167,4754.0,160.0,360.0,1.0,Rural,
LP002125,Male,Yes,1,Graduate,No,4960,2600.0,187.0,360.0,1.0,Semiurban,
LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,N
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y
LP001534,Male,No,0,Graduate,No,4452,0.0,131.0,360.0,1.0,Rural,
LP002194,Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,Y
LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,N
LP002098,Male,No,0,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,Y
LP002485,Male,No,1,Graduate,No,24797,0.0,240.0,360.0,1.0,Semiurban,
LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,Y
LP002537,Male,Yes,0,Graduate,No,2083,3150.0,128.0,360.0,1.0,Semiurban,Y
LP002969,Male,Yes,1,Graduate,No,2269,2167.0,99.0,360.0,1.0,Semiurban,
LP001082,Male,Yes,1,Graduate,,2185,1516.0,162.0,360.0,1.0,Semiurban,
LP002774,Male,Yes,0,Not Graduate,No,1700,2900.0,67.0,360.0,0.0,Urban,
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N
LP002056,Male,Yes,2,Graduate,No,9167,0.0,235.0,360.0,1.0,Semiurban,
LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,N
LP002657,,Yes,1,Not Graduate,Yes,570,2125.0,68.0,360.0,1.0,Rural,
LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,Y
LP001788,Female,No,0,Graduate,Yes,3463,0.0,122.0,360.0,,Urban,Y
LP001993,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y
LP002635,Female,Yes,2,Not Graduate,No,3729,0.0,117.0,360.0,1.0,Semiurban,
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,Y
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y
LP002476,Female,Yes,3+,Not Graduate,No,1635,2444.0,99.0,360.0,1.0,Urban,
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N
LP002624,Male,Yes,0,Graduate,No,20833,6667.0,480.0,360.0,,Urban,Y
LP002445,Female,No,1,Not Graduate,No,3854,3575.0,117.0,360.0,1.0,Rural,
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N
LP001742,Male,Yes,2,Graduate,No,4500,0.0,147.0,360.0,1.0,Rural,
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N
LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,Y
LP002530,,Yes,2,Graduate,No,2873,1872.0,132.0,360.0,0.0,Semiurban,N
LP001211,Male,No,0,Graduate,Yes,5833,0.0,116.0,360.0,1.0,Urban,
LP001769,,No,,Graduate,No,3333,1250.0,110.0,360.0,1.0,Semiurban,
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y
LP002370,Male,No,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban,Y
LP001128,,No,0,Graduate,No,3909,0.0,101.0,360.0,1.0,Urban,
LP001865,Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,,Urban,Y
LP001699,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y
LP002717,Male,Yes,0,Graduate,No,1025,5500.0,216.0,360.0,,Rural,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,Y
LP002333,Male,No,0,Not Graduate,No,3844,0.0,105.0,360.0,1.0,Urban,
LP002231,Female,No,0,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,Y
LP002541,Male,Yes,0,Graduate,No,10833,0.0,234.0,360.0,1.0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y
LP002940,Male,No,0,Not Graduate,No,3833,0.0,110.0,360.0,1.0,Rural,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N
LP001083,Male,No,3+,Graduate,No,4166,0.0,40.0,180.0,,Urban,
LP002805,Male,Yes,2,Graduate,No,5041,700.0,150.0,360.0,1.0,Urban,
LP002699,Male,Yes,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,Y
LP002128,Male,Yes,2,Graduate,,2583,2330.0,125.0,360.0,1.0,Rural,Y
LP002325,Male,Yes,2,Not Graduate,No,6166,13983.0,102.0,360.0,1.0,Rural,
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y
LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,Y
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,Y
LP002443,Male,Yes,2,Graduate,No,3340,1710.0,150.0,360.0,0.0,Rural,N
LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,Y
LP002502,Female,Yes,2,Not Graduate,,210,2917.0,98.0,360.0,1.0,Semiurban,Y
LP002732,Male,No,0,Not Graduate,,2550,2042.0,126.0,360.0,1.0,Rural,Y
LP002877,Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N
LP002599,Male,Yes,0,Graduate,No,3667,2000.0,170.0,360.0,1.0,Semiurban,
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
LP001124,Female,No,3+,Not Graduate,No,2083,0.0,28.0,180.0,1.0,Urban,
LP002625,,No,0,Graduate,No,3583,0.0,96.0,360.0,1.0,Urban,N
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y
LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260.0,360.0,1.0,Urban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,,360.0,1.0,Semiurban,Y
LP002151,Male,Yes,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,N
LP002609,Female,Yes,0,Graduate,No,2241,2000.0,88.0,360.0,0.0,Urban,
LP001500,Male,Yes,1,Graduate,No,3333,4200.0,256.0,360.0,1.0,Urban,
LP001792,Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y
LP002100,Male,No,,Graduate,No,2833,0.0,71.0,360.0,1.0,Urban,Y
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N
LP001483,Male,Yes,3+,Graduate,No,13518,0.0,390.0,360.0,1.0,Rural,
LP002652,Male,No,0,Graduate,No,5815,3666.0,311.0,360.0,1.0,Rural,N
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,Y
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y
LP002257,Female,No,0,Graduate,No,2545,0.0,74.0,360.0,1.0,Urban,
LP002053,Male,Yes,3+,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,Y
LP002790,Male,Yes,3+,Graduate,No,3400,0.0,80.0,120.0,1.0,Urban,
LP002533,Male,Yes,2,Graduate,No,2947,1603.0,,360.0,1.0,Urban,N
LP002197,Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,Y
LP002339,Male,Yes,0,Graduate,No,3887,1517.0,105.0,360.0,0.0,Semiurban,
LP002435,Male,Yes,0,Graduate,,3539,1376.0,55.0,360.0,1.0,Rural,N
LP001955,Female,No,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,N
LP002825,Male,Yes,3+,Graduate,No,9699,0.0,300.0,360.0,1.0,Urban,
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y
LP002723,Male,No,2,Graduate,No,3588,0.0,110.0,360.0,0.0,Rural,N
LP002398,Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,Y
LP002077,Male,Yes,1,Graduate,No,10000,2690.0,412.0,360.0,1.0,Semiurban,
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,,Semiurban,Y
LP001827,Male,No,0,Graduate,No,3071,4309.0,180.0,360.0,1.0,Urban,
LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,Y
LP001794,Male,Yes,2,Graduate,Yes,10890,0.0,260.0,12.0,1.0,Rural,
LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123.0,360.0,0.0,Rural,N
LP002654,Female,No,,Graduate,Yes,14987,0.0,177.0,360.0,1.0,Rural,
LP002523,Male,Yes,3+,Graduate,No,2773,1497.0,108.0,360.0,1.0,Semiurban,
LP002690,Male,No,0,Graduate,No,2500,0.0,55.0,360.0,1.0,Semiurban,Y
LP002855,Male,Yes,2,Graduate,No,16666,0.0,275.0,360.0,1.0,Urban,Y
LP002316,Male,No,0,Graduate,No,2231,2774.0,176.0,360.0,0.0,Urban,
LP002605,Male,No,0,Not Graduate,No,3271,0.0,90.0,360.0,1.0,Rural,
LP002386,Male,No,0,Graduate,,12876,0.0,405.0,360.0,1.0,Semiurban,Y
LP001760,Male,,,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban,Y
LP002101,Male,Yes,0,Graduate,,63337,0.0,490.0,180.0,1.0,Urban,Y
LP001547,Male,Yes,1,Graduate,No,3901,0.0,116.0,360.0,1.0,Urban,
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,,Semiurban,Y
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N
LP001974,Female,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,Y
LP002878,Male,Yes,3+,Graduate,No,8334,0.0,260.0,360.0,1.0,Urban,
LP002047,Male,Yes,2,Not Graduate,No,4521,1184.0,150.0,360.0,1.0,Semiurban,
LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,N
LP002425,Male,No,0,Graduate,No,3417,738.0,100.0,360.0,,Rural,
LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,N
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y
LP002743,Female,No,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,N
LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,Y
LP002943,Male,No,,Graduate,No,2987,0.0,88.0,360.0,0.0,Semiurban,N
LP002348,Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,Y
LP001002,Male,No,0,Graduate,No,5849,0.0,,360.0,1.0,Urban,Y
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y
LP001420,Male,Yes,3+,Graduate,No,3829,1103.0,163.0,360.0,0.0,Urban,
LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,N
LP002542,Male,Yes,0,Graduate,,6500,0.0,144.0,360.0,1.0,Urban,
LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480.0,360.0,1.0,Rural,Y
LP001817,Male,No,0,Not Graduate,Yes,8703,0.0,199.0,360.0,0.0,Rural,
LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56.0,180.0,1.0,Semiurban,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,N
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,,Rural,Y
LP001096,Female,No,0,Graduate,No,4666,0.0,124.0,360.0,1.0,Semiurban,
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,N
LP002482,Female,No,0,Graduate,Yes,3333,3916.0,212.0,360.0,1.0,Rural,
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y
LP002735,Male,Yes,2,Not Graduate,No,3859,0.0,121.0,360.0,1.0,Rural,
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,,Rural,N
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y
LP002433,Male,Yes,1,Graduate,No,18840,0.0,234.0,360.0,1.0,Rural,
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N
LP001938,Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,N
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,N
LP001287,,Yes,3+,Not Graduate,No,3500,833.0,120.0,360.0,1.0,Semiurban,
LP002068,Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,Y
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y
LP001627,Male,No,0,Graduate,No,3125,0.0,65.0,360.0,1.0,Urban,
LP001351,Male,Yes,0,Graduate,No,2917,3583.0,138.0,360.0,1.0,Semiurban,
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N
LP002570,Female,Yes,2,Graduate,No,10000,11666.0,460.0,360.0,1.0,Urban,
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N
LP002083,Male,No,0,Graduate,Yes,5833,0.0,116.0,360.0,1.0,Urban,
LP001658,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y
LP002772,Male,No,0,Graduate,No,2526,1783.0,145.0,360.0,1.0,Rural,Y
LP002879,Male,Yes,0,Graduate,No,3391,1966.0,133.0,360.0,0.0,Rural,
LP001580,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y
LP002935,Male,Yes,1,Graduate,No,3791,1936.0,85.0,360.0,1.0,Urban,
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
LP001107,Male,Yes,3+,Graduate,No,3786,333.0,126.0,360.0,1.0,Semiurban,
LP002459,Male,Yes,0,Graduate,No,4301,0.0,118.0,360.0,1.0,Urban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N
LP001567,Male,Yes,3+,Graduate,No,4513,0.0,120.0,360.0,1.0,Rural,
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,Y
LP001790,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y
LP001921,Male,No,1,Graduate,No,3180,2370.0,80.0,240.0,,Rural,
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,N
LP002449,Male,Yes,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,Y
LP002531,Male,Yes,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,Y
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y
LP002952,Male,No,0,Graduate,No,2500,0.0,60.0,360.0,1.0,Urban,
LP001973,Male,Yes,2,Not Graduate,No,4483,0.0,130.0,360.0,1.0,Rural,
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y
LP002711,Male,Yes,0,Graduate,No,2600,700.0,96.0,360.0,1.0,Semiurban,
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N
LP001959,Female,Yes,1,Graduate,No,3564,0.0,79.0,360.0,1.0,Rural,
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y
LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,N
LP001230,Male,No,0,Graduate,No,6500,2600.0,200.0,360.0,1.0,Semiurban,
LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132.0,180.0,0.0,Rural,N
LP002286,Male,Yes,3+,Not Graduate,No,5180,0.0,125.0,360.0,0.0,Urban,
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N
LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,Y
LP001352,Male,Yes,0,Not Graduate,No,4700,0.0,135.0,360.0,0.0,Semiurban,
LP001359,Male,Yes,0,Graduate,No,7666,0.0,187.0,360.0,1.0,Semiurban,
LP002610,Male,Yes,1,Not Graduate,,1792,2565.0,128.0,360.0,1.0,Urban,
LP002113,Female,No,3+,Not Graduate,No,1830,0.0,,360.0,0.0,Urban,N
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,Y
LP002606,Female,No,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,Y
LP002592,Male,No,0,Graduate,No,4983,0.0,141.0,360.0,1.0,Urban,
LP001059,Male,Yes,2,Graduate,,13633,0.0,280.0,240.0,1.0,Urban,
LP001872,Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y
LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94.0,360.0,1.0,Semiurban,Y
LP001317,Female,No,0,Not Graduate,No,4402,0.0,130.0,360.0,1.0,Rural,
LP001056,Male,Yes,2,Not Graduate,No,3881,0.0,147.0,360.0,0.0,Rural,
LP002760,Female,No,0,Graduate,No,3767,0.0,134.0,300.0,1.0,Urban,
LP001335,Male,Yes,0,Graduate,Yes,7016,292.0,125.0,360.0,1.0,Urban,
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N
LP001472,Female,No,0,Graduate,,5058,0.0,200.0,360.0,1.0,Rural,
LP002551,Male,Yes,3+,Not Graduate,,3634,910.0,176.0,360.0,0.0,Semiurban,
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,Y
LP001548,Male,Yes,2,Not Graduate,No,2687,0.0,50.0,180.0,1.0,Rural,
LP002188,Male,No,0,Graduate,No,5124,0.0,124.0,,0.0,Rural,N
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,,Semiurban,N
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y
LP002501,,Yes,0,Graduate,No,16692,0.0,110.0,360.0,1.0,Semiurban,Y
LP001892,Male,No,0,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,Y
LP001924,Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,Y
LP002161,Female,No,1,Graduate,No,4723,0.0,81.0,360.0,1.0,Semiurban,N
LP002143,Female,Yes,0,Graduate,No,2423,505.0,130.0,360.0,1.0,Semiurban,Y
LP002986,Male,Yes,0,Graduate,No,5000,2393.0,158.0,360.0,1.0,Rural,
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y
LP002190,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y
LP002840,Female,No,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,N
LP002960,Male,Yes,0,Not Graduate,No,2400,3800.0,,180.0,1.0,Urban,N
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,175.0,,1.0,Semiurban,Y
LP001695,Male,Yes,1,Not Graduate,No,3321,2088.0,70.0,,1.0,Semiurban,
LP001380,Male,Yes,0,Graduate,Yes,3900,2094.0,232.0,360.0,1.0,Rural,
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,Y
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,Y
LP001961,Female,No,0,Graduate,No,3958,0.0,110.0,360.0,1.0,Rural,
LP002948,Male,Yes,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
LP002028,Male,Yes,2,Graduate,No,4358,0.0,110.0,360.0,1.0,Urban,
LP001035,Male,Yes,2,Graduate,No,2340,2546.0,100.0,360.0,,Urban,
LP002872,,Yes,0,Graduate,No,3087,2210.0,136.0,360.0,0.0,Semiurban,N
LP001445,Male,Yes,2,Not Graduate,No,4136,0.0,149.0,480.0,0.0,Rural,
LP002603,Female,No,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural,Y
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y
LP002791,Male,No,1,Graduate,,16000,5000.0,40.0,360.0,1.0,Semiurban,
LP002397,Female,Yes,1,Graduate,No,3719,1585.0,114.0,360.0,1.0,Urban,
LP001312,Male,Yes,0,Not Graduate,Yes,5293,0.0,92.0,360.0,1.0,Urban,
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,Y
LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218.0,360.0,0.0,Rural,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y
LP001392,Female,No,1,Graduate,Yes,7451,0.0,,360.0,1.0,Semiurban,Y
